text,label
"Shooting sports is hard, everything is blurry",photography
Swing dance night: my lindy hop swing-outs are getting smoother,dance
Anatomy of hands is my eternal nemesis,art
Singing lessons over video call actually work pretty well,singing
Rule of thirds or center composition for this one?,photography
Border crossing by bus took 6 hours,travel
"Just pre-ordered the sequel, can't wait",gaming
Bread proofing in the oven with the light on,cooking
"My linework is so shaky, any exercises?",art
How long should vocal warmups be before a gig?,singing
Ending theme is a certified skip-never,anime
Pickling vegetables from the garden,cooking
Spent three hours debugging a typo,coding
TypeScript types are saving me from myself,coding
Writing group critique was harsh but useful,writing
Black and white conversion brought out the texture,photography
Watching with Japanese subtitles to practice my Japanese,anime
My voice teacher made me sing lying on the floor for breath control,singing
"Auditioned for the community musical, fingers crossed",singing
Learning the 8 counts for a K-pop cover and the footwork is brutal,dance
Copied a master painting to learn brushwork,art
Modding my favorite RPG to add new quests,gaming
"Learned a 32-count combo in one class, proud of that",dance
Rowing machine intervals are underrated,fitness
Found a tiny cafe that doesn't show up on any map,travel
Missed my train but found a beautiful village instead,travel
Anyone else get stage fright right before the curtain goes up at a recital?,dance
Mechanical keyboard vs membrane for gaming?,gaming
"My voice cracks every time I switch into head voice, help",singing
"Earn $5000 a week working from home, click the link in bio",off_topic
Our a cappella group just arranged a new medley,singing
My calluses are finally forming,music
Urban sketching trip in the old town,art
Handheld console is perfect for my commute,gaming
"Started yoga for mobility, my hamstrings are so tight",fitness
"Stuck on this puzzle for an hour, no walkthroughs allowed",gaming
Baked a birthday cake with three layers,cooking
Finally got the shot I've been chasing for weeks,photography
Anyone else lose their voice after a long rehearsal?,singing
"Congratulations you have won a prize, verify your account here",off_topic
"Violin practice, my intonation is improving",music
Recorded a karaoke version and my pitch was all over the place,singing
"Teacher said I need to lead from the chest, not the hips",dance
"Manga readers please no spoilers, I'm only on season 2",anime
"Vim or VS Code, fight",coding
My clan is recruiting for the new season,gaming
Dub or sub? I'm team sub but the dub cast is great for this one,anime
How do you stop your colors from getting muddy?,art
"Lost my keys somewhere on Main Street, reward if found",off_topic
"Art block for two weeks, doodling to get out of it",art
"Drum fills are my weak spot, working on them",music
How do you outline without losing the fun of discovery?,writing
"Watched the movie in theaters, the sakuga was unreal",anime
Haiku a day keeps writer's block away,writing
"Rest day, my legs have filed a formal complaint",fitness
VR headset makes me dizzy after 20 minutes,gaming
Mecha shows deserve more love,anime
"Leg day tomorrow, dreading it already",fitness
"Songwriting session, wrote the whole chorus",music
Can someone help me with my taxes?,off_topic
"Buy cheap followers now!!! Limited offer, DM me",off_topic
Learning functional programming concepts,coding
Rehearsal room booked for the band tomorrow,music
Trying to get better at build order in strategy games,gaming
Code review comments were brutal but fair,coding
Studio lighting setup with one softbox,photography
Recommend me something like my favorite isekai but less generic,anime
"Squad wiped the final boss on attempt 47, worth it",gaming
The neighbors are having a loud party again,off_topic
Chasing reflections in puddles after the rain,photography
Word count goal hit for the week,writing
Piano sight reading is getting easier,music
Freestyled at a wedding and people actually cheered,dance
Gospel choir rehearsal gave me chills,singing
Ukulele is so easy to pick up,music
Packing cubes changed my life,travel
"Dentist appointment tomorrow, wish me luck",off_topic
Anyone else think the new tax law is unfair?,off_topic
Chocolate tempering is so finicky,cooking
Crying over a side character's backstory at 2am again,anime
"Fan art of my favorite game character, took 10 hours",art
Cast iron seasoning tips?,cooking
Sketchbook page from this morning's coffee shop session,art
"Edited this in Lightroom, went for a moody look",photography
Gym was packed so I did calisthenics in the park,fitness
Mastered the perfect omelette,cooking
Music theory: finally understanding modes,music
What's everyone having for lunch?,off_topic
Freewriting for 15 minutes to warm up,writing
Night market photos with lots of neon,photography
"Form check on my squat please, I think my knees cave",fitness
Leetcode streak day 30,coding
What shoes do you wear for practicing on concrete?,dance
"Salsa social tonight, my follower said my lead was smooth 🥹",dance
Vegan brownies that actually taste good,cooking
The open world is gorgeous but the map is too big,gaming
Practicing ear training with intervals,music
Wide angle for the mountain panorama,photography
My internet provider keeps dropping the connection,off_topic
Tried scuba diving on vacation,travel
"Game jam this weekend, making a platformer in 48 hours",coding
"Mountain hut stay with no wifi, perfect",travel
Built a CLI tool to automate my boring tasks,coding
Any tips for remembering long choreography sequences?,dance
Which controller do you prefer for fighting games?,gaming
Hostel roommates became travel buddies,travel
Gym buddy keeps me accountable,fitness
Leading lines in this architecture shot,photography
Focus stacking for sharp product photos,photography
The filler arc was actually kind of good?,anime
Metronome at 60 bpm until it's perfect,music
Rewriting my backend in a new framework,coding
"Signed my first painting, felt official",art
"Pixel art indie gem, only 5 hours but perfect",gaming
Palette knife landscapes are so satisfying,art
Visit my online store for discounted watches,off_topic
"Looper pedal jam, layering everything myself",music
Kizomba connection with a good partner feels like floating,dance
Fermenting kimchi at home,cooking
"Printed my best photo big, it looks amazing on the wall",photography
Started watching slice of life shows to relax after work,anime
"Killed off a beloved character, readers are mad",writing
"Self-publishing vs traditional, thoughts?",writing
Travel journal filled with ticket stubs,travel
Color theory is finally making sense to me,art
Camping under the stars in the desert,travel
"Coding bootcamp week 4, brain is full",coding
Vocal fry warmups before rock songs help me,singing
My portfolio website is finally done,coding
Critique welcome: does the composition feel balanced?,art
Learned to sing with a mic properly at the open mic tonight,singing
"Binged 24 episodes this weekend, no regrets",anime
Pitch training app says I'm 15 cents flat on average,singing
Acrylic pour turned out way better than expected,art
Follow for follow? Let's grow together,off_topic
"Figure drawing class, gesture sketches in 30 seconds each",art
Personal essay about my grandfather got published,writing
Indie roguelike I found is eating all my free time,gaming
Macro shot of a bee on a flower,photography
Query letter draft number seven,writing
Mixing tip: cut the low end on everything but bass and kick,music
"Restringing my guitar, what gauge do you use?",music
"Esports finals tonight, who are you rooting for?",gaming
How do you stop your arms from flailing during turns?,dance
Is it too late to start ballroom at 35?,dance
"Finished my first oil painting, it took three weeks",art
Muscle ups are the next goal,fitness
Finally sang in front of my family without hiding in another room,singing
Cooked a three course meal for my partner,cooking
Journaling every night for a month now,writing
Pull-ups: went from zero to five in two months,fitness
Released my EP on streaming platforms,music
"Beat the game on hardest difficulty, hands are shaking",gaming
Terminal customization rabbit hole,coding
"Barbershop quartet practice, our chords are ringing",singing
Speedpaint timelapse of my latest piece,art
Retro night: playing old cartridges on the original console,gaming
Unlocked the secret ending!,gaming
Weather is so gloomy this week,off_topic
Local family hosted me for dinner,travel
Struggling with pacing in the middle act,writing
Leveling an alt character just for the storyline,gaming
Budget travel tips for expensive cities?,travel
Charcoal smudges on everything I own,art
"Meal prepped for the whole week, future me says thanks",cooking
Screenplay formatting is so specific,writing
Frame rate drops in the city area are killing me,gaming
"Stock market is crashing, sell everything",off_topic
Looking for a roommate starting next month,off_topic
My dishwasher is making a weird noise,off_topic
Marathon training block starts Monday,fitness
Flash fiction challenge: 100 words exactly,writing
Our group just nailed the formation changes in the chorus,dance
Building a compiler as a learning project,coding
Recorded the routine from three angles to check my lines,dance
Lag in the tournament cost us the match,gaming
Island hopping by ferry,travel
"Cello practice every evening, neighbors love it",music
Composing a piece for string quartet,music
Children's picture book manuscript done,writing
The API returns 500 only in production,coding
Achievement hunting is my new obsession,gaming
"Gig at the pub on Friday, first time with the new setlist",music
"The ink bled through the paper, lesson learned",art
Glacier hike with crampons,travel
"Aperture, shutter, ISO: the exposure triangle finally makes sense",photography
Tripod saved my night shots,photography
My code works and I don't know why,coding
"Choreographed my first piece for the showcase, feeling nervous",dance
Harmonizing with my sister on car rides is the best,singing
"Sight singing is so hard, intervals everywhere",singing
"New PR on deadlifts today, slow progress is still progress",fitness
"Rehearsed until midnight, show is tomorrow",dance
Blue hour cityscape from the bridge,photography
Set up CI so tests run on every push,coding
Homemade pizza night with a 72-hour dough,cooking
Night market in the city was buzzing,travel
Blind contour drawings are weirdly relaxing,art
Drew my cat every day this month,art
Lost my luggage but made it work with a carry-on,travel
Check out my OnlyFans link,off_topic
Git merge conflict ruined my afternoon,coding
What lens should I get for portraits on a budget?,photography
Golden hour on the way home made the commute worth it,photography
"Warm up sets matter, pulled a muscle skipping them",fitness
"Collected all the figures from the series, shelf is full",anime
"My protagonist feels flat, any character tips?",writing
Walking tour of the historic district,travel
Wildlife photography: waited 3 hours for the heron,photography
Hit my step goal every day this month,fitness
Mastering is black magic,music
Show don't tell finally makes sense,writing
Learning to read drum notation,music
"Progress photos side by side, visible change!",fitness
"Loan approved instantly, no credit check",off_topic
"Open mic tonight, doing an acoustic cover of Jolene",singing
Recording vocals at home: closet full of clothes is the best booth,singing
Stippling takes forever but looks amazing,art
Learning data structures for interviews,coding
Sold my first beat online!,music
Just had the worst customer service experience at the bank,off_topic
Traffic on the highway is terrible today,off_topic
Road trip along the coast this weekend,travel
"Filmed my popping routine, the isolations look cleaner than I thought",dance
"Cinnamon rolls rising, house smells amazing",cooking
Our raid team finally cleared the hardest dungeon,gaming
Making dumplings with my grandma's recipe,cooking
Meal prepping chicken and rice for the week of training,fitness
Astrophotography attempt: the milky way was faint but there,photography
Tried drawing fan art of the main cast,anime
Krumping session left me drenched but so happy,dance
Drone shots of the coastline look unreal,photography
Plank challenge: 3 minutes today,fitness
Episode 7 twist completely blindsided me,anime
"Caramel seized again, sugar is tricky",cooking
"Tried a new curry recipe, spice level was perfect",cooking
"Sous vide steak, edge to edge medium rare",cooking
CSS centering still haunts me,coding
DM me for cheap designer bags,off_topic
Somewhere between two time zones right now and loving it,travel
Coach changed my program to focus on hypertrophy,fitness
Swimming laps is my favorite cardio,fitness
